experiment,use_bn,use_dropout,use_residual,pooling,params,best_val_acc
bn0_do0,0,0,0,max,158500,90.02
bn0_do1,0,1,0,max,158500,89.93
bn1_do0,1,0,0,max,159040,90.50
bn1_do1,1,1,0,max,159040,90.37
bn0_do0_res0_poolavg,0,0,0,avg,161898,92.47
bn0_do0_res0_poolmax,0,0,0,max,161898,93.28
bn0_do0_res1_poolavg,0,0,1,avg,163146,92.33
bn0_do0_res1_poolmax,0,0,1,max,163146,92.87
bn0_do1_res0_poolavg,0,1,0,avg,161898,92.60
bn0_do1_res0_poolmax,0,1,0,max,161898,93.18
bn0_do1_res1_poolavg,0,1,1,avg,163146,92.20
bn0_do1_res1_poolmax,0,1,1,max,163146,93.20
bn1_do0_res0_poolavg,1,0,0,avg,162170,94.43
bn1_do0_res0_poolmax,1,0,0,max,162170,94.10
bn1_do0_res1_poolavg,1,0,1,avg,163418,93.98
bn1_do0_res1_poolmax,1,0,1,max,163418,94.07
bn1_do1_res0_poolavg,1,1,0,avg,162170,94.38
bn1_do1_res0_poolmax,1,1,0,max,162170,94.05
bn1_do1_res1_poolavg,1,1,1,avg,163418,94.08
bn1_do1_res1_poolmax,1,1,1,max,163418,93.97
